[2023-10-20T10:14:38.575Z] Buyer: Transaction = 0.0.4551131@1697796863.587033063	 Status =SUCCESS
[2023-10-20T10:14:46.985Z] Buyer: Transaction = 0.0.4551131@1697796874.437756842	 Status =SUCCESS
[2023-10-20T10:14:56.212Z] Buyer: Transaction = 0.0.4551131@1697796883.649078508	 Status =SUCCESS
[2023-10-20T10:15:05.286Z] Buyer: Transaction = 0.0.4551131@1697796894.705473444	 Status =SUCCESS
[2023-10-20T10:15:15.459Z] Buyer: Transaction = 0.0.4551131@1697796900.892364927	 Status =SUCCESS
[2023-10-20T10:15:23.831Z] Buyer: Transaction = 0.0.4551131@1697796910.991741785	 Status =SUCCESS
[2023-10-20T10:15:32.988Z] Buyer: Transaction = 0.0.4551131@1697796921.613741792	 Status =SUCCESS
[2023-10-20T10:15:42.145Z] Buyer: Transaction = 0.0.4551131@1697796928.343352917	 Status =SUCCESS
[2023-10-20T10:15:51.643Z] Buyer: Transaction = 0.0.4551131@1697796938.766698858	 Status =SUCCESS
[2023-10-20T10:16:00.707Z] Buyer: Transaction = 0.0.4551131@1697796945.214568580	 Status =SUCCESS
[2023-10-20T10:16:09.404Z] Buyer: Transaction = 0.0.4551131@1697796958.394510255	 Status =SUCCESS
[2023-10-20T10:16:17.563Z] Buyer: Transaction = 0.0.4551131@1697796966.489445044	 Status =SUCCESS
[2023-10-20T10:16:26.847Z] Buyer: Transaction = 0.0.4551131@1697796974.511481728	 Status =SUCCESS
[2023-10-20T10:16:36.054Z] Buyer: Transaction = 0.0.4551131@1697796981.410020671	 Status =SUCCESS
[2023-10-20T10:16:45.075Z] Buyer: Transaction = 0.0.4551131@1697796991.835568574	 Status =SUCCESS
[2023-10-20T10:16:54.247Z] Buyer: Transaction = 0.0.4551131@1697797002.743973790	 Status =SUCCESS
[2023-10-20T10:17:02.585Z] Buyer: Transaction = 0.0.4551131@1697797010.192466148	 Status =SUCCESS
[2023-10-20T10:17:11.921Z] Buyer: Transaction = 0.0.4551131@1697797017.938760197	 Status =SUCCESS
[2023-10-20T10:17:20.562Z] Buyer: Transaction = 0.0.4551131@1697797029.391280191	 Status =SUCCESS
[2023-10-20T10:17:29.207Z] Buyer: Transaction = 0.0.4551131@1697797034.277492730	 Status =SUCCESS
[2023-10-20T10:17:37.718Z] Buyer: Transaction = 0.0.4551131@1697797042.496444591	 Status =SUCCESS
[2023-10-20T10:17:46.707Z] Buyer: Transaction = 0.0.4551131@1697797055.500762079	 Status =SUCCESS
[2023-10-20T10:17:55.611Z] Buyer: Transaction = 0.0.4551131@1697797060.774502994	 Status =SUCCESS
[2023-10-20T10:18:04.692Z] Buyer: Transaction = 0.0.4551131@1697797070.682510330	 Status =SUCCESS
[2023-10-20T10:18:13.009Z] Buyer: Transaction = 0.0.4551131@1697797080.434927627	 Status =SUCCESS
[2023-10-20T10:18:20.874Z] Buyer: Transaction = 0.0.4551131@1697797088.459755599	 Status =SUCCESS
[2023-10-20T10:18:29.895Z] Buyer: Transaction = 0.0.4551131@1697797098.903949880	 Status =SUCCESS
[2023-10-20T10:18:39.201Z] Buyer: Transaction = 0.0.4551131@1697797105.428783725	 Status =SUCCESS
[2023-10-20T10:18:48.599Z] Buyer: Transaction = 0.0.4551131@1697797115.393135262	 Status =SUCCESS
[2023-10-20T10:18:57.980Z] Buyer: Transaction = 0.0.4551131@1697797125.833909724	 Status =SUCCESS
[2023-10-20T10:19:07.035Z] Buyer: Transaction = 0.0.4551131@1697797133.282021022	 Status =SUCCESS
[2023-10-20T10:19:16.170Z] Buyer: Transaction = 0.0.4551131@1697797143.506013402	 Status =SUCCESS
[2023-10-20T10:19:25.571Z] Buyer: Transaction = 0.0.4551131@1697797150.416450082	 Status =SUCCESS
[2023-10-20T10:19:34.952Z] Buyer: Transaction = 0.0.4551131@1697797161.405126507	 Status =SUCCESS
[2023-10-20T10:19:43.642Z] Buyer: Transaction = 0.0.4551131@1697797169.375805510	 Status =SUCCESS
[2023-10-20T10:19:52.451Z] Buyer: Transaction = 0.0.4551131@1697797181.015847124	 Status =SUCCESS
[2023-10-20T10:20:01.531Z] Buyer: Transaction = 0.0.4551131@1697797186.506336215	 Status =SUCCESS
[2023-10-20T10:20:09.845Z] Buyer: Transaction = 0.0.4551131@1697797195.507991432	 Status =SUCCESS
[2023-10-20T10:20:19.378Z] Buyer: Transaction = 0.0.4551131@1697797207.679470180	 Status =SUCCESS
[2023-10-20T10:20:28.984Z] Buyer: Transaction = 0.0.4551131@1697797213.375901181	 Status =SUCCESS
[2023-10-20T10:20:37.661Z] Buyer: Transaction = 0.0.4551131@1697797225.602763526	 Status =SUCCESS
[2023-10-20T10:20:46.864Z] Buyer: Transaction = 0.0.4551131@1697797232.318696768	 Status =SUCCESS
[2023-10-20T10:20:55.600Z] Buyer: Transaction = 0.0.4551131@1697797240.466718574	 Status =SUCCESS
[2023-10-20T10:21:04.952Z] Buyer: Transaction = 0.0.4551131@1697797253.775499404	 Status =SUCCESS
[2023-10-20T10:21:14.844Z] Buyer: Transaction = 0.0.4551131@1697797260.355901392	 Status =SUCCESS
[2023-10-20T10:21:23.951Z] Buyer: Transaction = 0.0.4551131@1697797269.347612397	 Status =SUCCESS
[2023-10-20T10:21:33.586Z] Buyer: Transaction = 0.0.4551131@1697797281.222216613	 Status =SUCCESS
[2023-10-20T10:21:42.660Z] Buyer: Transaction = 0.0.4551131@1697797289.415737906	 Status =SUCCESS
[2023-10-20T10:21:52.316Z] Buyer: Transaction = 0.0.4551131@1697797299.216528031	 Status =SUCCESS
[2023-10-20T10:22:01.418Z] Buyer: Transaction = 0.0.4551131@1697797307.227122928	 Status =SUCCESS
[2023-10-20T10:22:09.368Z] Buyer: Transaction = 0.0.4551131@1697797317.172697219	 Status =SUCCESS
[2023-10-20T10:22:18.184Z] Buyer: Transaction = 0.0.4551131@1697797326.936767585	 Status =SUCCESS
[2023-10-20T10:22:26.735Z] Buyer: Transaction = 0.0.4551131@1697797331.659884940	 Status =SUCCESS
[2023-10-20T10:22:36.379Z] Buyer: Transaction = 0.0.4551131@1697797341.404268399	 Status =SUCCESS
[2023-10-20T10:22:45.483Z] Buyer: Transaction = 0.0.4551131@1697797353.125793215	 Status =SUCCESS
[2023-10-20T10:22:54.795Z] Buyer: Transaction = 0.0.4551131@1697797362.866782052	 Status =SUCCESS
[2023-10-20T10:23:04.064Z] Buyer: Transaction = 0.0.4551131@1697797370.980080755	 Status =SUCCESS
[2023-10-20T10:23:12.505Z] Buyer: Transaction = 0.0.4551131@1697797378.516546902	 Status =SUCCESS
[2023-10-20T10:23:21.647Z] Buyer: Transaction = 0.0.4551131@1697797386.297344637	 Status =SUCCESS
[2023-10-20T10:23:29.720Z] Buyer: Transaction = 0.0.4551131@1697797397.410256013	 Status =SUCCESS
[2023-10-20T10:23:40.997Z] Buyer: Transaction = 0.0.4551131@1697797406.330155406	 Status =SUCCESS
[2023-10-20T10:23:50.400Z] Buyer: Transaction = 0.0.4551131@1697797416.160394945	 Status =SUCCESS
[2023-10-20T10:23:58.473Z] Buyer: Transaction = 0.0.4551131@1697797424.518932196	 Status =SUCCESS
[2023-10-20T10:24:07.060Z] Buyer: Transaction = 0.0.4551131@1697797432.387823911	 Status =SUCCESS
[2023-10-20T10:24:16.449Z] Buyer: Transaction = 0.0.4551131@1697797443.019210157	 Status =SUCCESS
[2023-10-20T10:24:25.637Z] Buyer: Transaction = 0.0.4551131@1697797453.913013871	 Status =SUCCESS
[2023-10-20T10:24:33.837Z] Buyer: Transaction = 0.0.4551131@1697797458.759603886	 Status =SUCCESS
